Bulk mode; whois.cymru.com [2014-06-11 20:19:11 +0000]
23650   | 61.147.103.84    | 61.147.103.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.103.96    | 61.147.103.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.103.99    | 61.147.103.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.103.135   | 61.147.103.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.103.147   | 61.147.103.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.103.150   | 61.147.103.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.103.169   | 61.147.103.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.107.83    | 61.147.107.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.107.89    | 61.147.107.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.107.93    | 61.147.107.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.107.113   | 61.147.107.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.160.215.85    | 61.160.215.0/24     | CN | apnic    | 2000-10-11 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.160.247.237   | 61.160.247.0/24     | CN | apnic    | 2000-10-11 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
4134    | 61.174.51.195    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.200    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.201    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.202    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.203    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.205    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.207    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.208    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.210    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.211    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.212    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.214    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.215    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.216    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.217    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.221    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.222    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.174.51.224    | 61.174.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.183.1.8       | 61.183.0.0/16       | CN | apnic    | 2000-11-16 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
24961   | 62.141.39.29     | 62.141.32.0/20      | DE | ripencc  | 2002-08-28 | MYLOC-AS myLoc managed IT AG,DE
24961   | 62.141.41.11     | 62.141.32.0/20      | DE | ripencc  | 2002-08-28 | MYLOC-AS myLoc managed IT AG,DE
8437    | 62.218.141.202   | 62.218.0.0/16       | AT | ripencc  | 2000-10-25 | UTA-AS Tele2 Telecommunication GmbH,AT
12741   | 62.233.208.250   | 62.233.128.0/17     | PL | ripencc  | 2002-02-04 | INTERNETIA-AS Netia SA,PL
32613   | 64.15.159.20     | 64.15.128.0/19      | CA | arin     | 2005-11-07 | IWEB-AS - iWeb Technologies Inc.,CA
32613   | 64.15.159.21     | 64.15.128.0/19      | CA | arin     | 2005-11-07 | IWEB-AS - iWeb Technologies Inc.,CA
13768   | 64.34.173.120    | 64.34.160.0/20      | US | arin     | 2004-07-15 | PEER1 - Peer 1 Network (USA) Inc.,US
27385   | 64.39.103.19     | 64.39.103.0/24      | US | arin     | 2006-05-30 | QUALYS - QUALYS, Inc.,US
19318   | 66.45.253.74     | 66.45.224.0/19      | US | arin     | 2003-09-23 | NJIIX-AS-1 - NEW JERSEY INTERNATIONAL INTERNET EXCHANGE LLC,US
29761   | 67.215.248.8     | 67.215.224.0/19     | US | arin     | 2007-10-18 | AS-QUADRANET - QuadraNet, Inc,US
20115   | 68.188.72.60     | 68.188.0.0/17       | US | arin     | 2002-12-31 | CHARTER-NET-HKY-NC - Charter Communications,US
18779   | 69.46.65.52      | 69.46.64.0/19       | US | arin     | 2010-10-21 | EGIHOSTING - EGIHosting,US
22653   | 69.61.106.201    | 69.61.0.0/17        | US | arin     | 2003-07-08 | GLOBALCOMPASS - Cyber Wurx LLC,US
46816   | 69.163.37.208    | 69.163.32.0/20      | US | arin     | 2009-04-09 | DSNETWORKS-001 - DirectSpace Networks, LLC.,US
29863   | 72.1.100.158     | 72.1.96.0/19        | US | arin     | 2006-02-07 | LATISYS-DENVER - Latisys-Denver, LLC,US
701     | 72.80.16.100     | 72.80.0.0/16        | US | arin     | 2005-06-24 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 72.90.72.235     | 72.90.64.0/19       | US | arin     | 2005-06-24 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
11427   | 72.135.106.97    | 72.135.96.0/20      | US | arin     | 2005-08-02 | SCRR-11427 - Time Warner Cable Internet LLC,US
4565    | 74.3.120.11      | 74.3.120.0/23       | US | arin     | 2005-12-20 | MEGAPATH2-US - MegaPath Networks Inc.,US
4436    | 74.115.3.62      | 74.115.3.0/24       | US | arin     | 2009-06-18 | AS-GTT-4436 - nLayer Communications, Inc.,US
6128    | 75.127.243.210   | 75.127.128.0/17     | US | arin     | 2007-08-30 | CABLE-NET-1 - Cablevision Systems Corp.,US
11013   | 76.10.196.227    | 76.10.192.0/20      | US | arin     | 2007-03-02 | BLUE-AS - Bluemile, Inc.,US
20910   | 77.38.161.51     | 77.38.128.0/17      | LV | ripencc  | 2007-03-23 | BALTKOM-AS SIA _Baltcom TV_,LV
44112   | 77.222.40.160    | 77.222.40.0/22      | RU | ripencc  | 2007-04-05 | SWEB-AS SpaceWeb CJSC,RU
35662   | 77.245.75.219    | 77.245.64.0/20      | GB | ripencc  | 2007-04-17 | REDSTATION Redstation Limited,GB
29170   | 82.114.95.238    | 82.114.95.0/24      | AL | ripencc  | 2003-12-22 | KUJTESA-AS Kujtesa Net Sh.p.k.,RS
12322   | 82.236.218.115   | 82.224.0.0/12       | FR | ripencc  | 2003-11-04 | PROXAD Free SAS,FR
5617    | 83.0.132.241     | 83.0.0.0/13         | PL | ripencc  | 2003-12-03 | TPNET Orange Polska Spolka Akcyjna,PL
8972    | 85.25.117.139    | 85.25.0.0/16        | DE | ripencc  | 2005-03-01 | PLUSSERVER-AS intergenia AG,DE
8972    | 85.25.195.227    | 85.25.0.0/16        | DE | ripencc  | 2005-12-05 | PLUSSERVER-AS intergenia AG,DE
6724    | 85.214.141.140   | 85.214.0.0/15       | DE | ripencc  | 2005-02-24 | STRATO STRATO AG,DE
6724    | 85.214.157.217   | 85.214.0.0/15       | DE | ripencc  | 2005-02-24 | STRATO STRATO AG,DE
3243    | 85.247.12.88     | 85.240.0.0/13       | PT | ripencc  | 2004-01-03 | TELEPAC PT Comunicacoes S.A.,PT
16276   | 87.98.187.194    | 87.98.128.0/17      | FR | ripencc  | 2005-08-15 | OVH OVH SAS,FR
31042   | 87.116.134.50    | 87.116.128.0/19     | RS | ripencc  | 2005-09-15 | SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o.,RS
3320    | 87.139.213.236   | 87.128.0.0/10       | DE | ripencc  | 2005-05-03 | DTAG Deutsche Telekom AG,DE
12386   | 88.87.202.81     | 88.87.192.0/19      | ES | ripencc  | 2006-02-24 | ASALPI Orange Catalunya Xarxes de Telecomunicacions S.A.,ES
9121    | 88.247.33.62     | 88.247.0.0/17       | TR | ripencc  | 2005-10-27 | TTNET Turk Telekomunikasyon Anonim Sirketi,TR
12618   | 89.191.150.230   | 89.191.144.0/20     | PL | ripencc  | 2006-06-19 | PL-BYDMAN-COM Commercial Users,PL
12301   | 91.82.88.231     | 91.82.0.0/15        | HU | ripencc  | 2006-07-27 | INVITEL Invitel Tavkozlesi Zrt.,HU
6697    | 91.149.157.144   | 91.149.157.0/24     | BY | ripencc  | 2006-11-16 | BELPAK-AS Republican Unitary Telecommunication Enterprise Beltelecom,BY
9038    | 91.186.249.8     | 91.186.248.0/21     | JO | ripencc  | 2006-11-13 | BAT-AS9038 Batelco Jordan,JO
47526   | 91.240.191.33    | 91.240.190.0/23     | UA | ripencc  | 2012-07-05 | BELOUS-AS Private Enterprise Belous Sergey Gennadievich,UA
39383   | 93.114.82.133    | 93.114.82.0/24      | RO | ripencc  | 2007-12-21 | ANNARSY-AS Annarsy SRL,RO
12389   | 95.167.180.114   | 95.167.0.0/16       | RU | ripencc  | 2009-07-23 | ROSTELECOM-AS OJSC Rostelecom,RU
20115   | 97.82.58.97      | 97.82.32.0/19       | US | arin     | 2007-03-21 | CHARTER-NET-HKY-NC - Charter Communications,US
7018    | 99.14.77.100     | 99.0.0.0/12         | US | arin     | 2008-02-25 | ATT-INTERNET4 - AT&T Services, Inc.,US
131717  | 103.14.20.242    | 103.14.20.0/24      | ID | apnic    | 2012-06-01 | IDNIC-CIFO-AS-ID PT Citra Jelajah Informatika,ID
24544   | 103.241.49.250   | 103.241.48.0/22     | HK | apnic    | 2013-08-26 | PANGNET-AS-AP Pang International Limited-AS number,HK
16637   | 105.237.97.175   | 105.237.0.0/16      | ZA | afrinic  | 2012-10-24 | MTNNS-AS,ZA
23724   | 106.120.172.65   | 106.120.172.0/24    | CN | apnic    | 2011-04-12 | CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation,CN
36351   | 108.175.156.136  | 108.175.156.0/24    | US | arin     | 2012-02-28 | SOFTLAYER - SoftLayer Technologies Inc.,US
39743   | 109.163.234.7    | 109.163.234.0/23    | RO | ripencc  | 2011-09-16 | VOXILITY-AS Voxility S.R.L.,RO
131090  | 110.77.141.116   | 110.77.141.0/24     | TH | apnic    | 2009-04-06 | CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT ,TH
4808    | 111.205.154.253  | 111.205.128.0/18    | CN | apnic    | 2009-07-01 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
45539   | 112.72.98.108    | 112.72.98.0/24      | VN | apnic    | 2008-12-24 | VTCWLB-AS-VN VTC Wireless Broadband Company,VN
4837    | 113.59.116.229   | 113.59.0.0/17       | CN | apnic    | 2008-10-27 | CHINA169-BACKBONE CNCGROUP China169 Backbone,CN
4134    | 113.108.211.131  | 113.96.0.0/12       | CN | apnic    | 2008-11-03 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
18004   | 114.79.37.61     | 114.79.37.0/24      | ID | apnic    | 2009-12-09 | WIRELESSNET-ID-AP WIRELESSNET AS,ID
4812    | 114.80.110.110   | 114.80.0.0/16       | CN | apnic    | 2008-05-14 | CHINANET-SH-AP China Telecom (Group),CN
4812    | 114.80.246.146   | 114.80.0.0/16       | CN | apnic    | 2008-05-14 | CHINANET-SH-AP China Telecom (Group),CN
4812    | 114.80.246.160   | 114.80.0.0/16       | CN | apnic    | 2008-05-14 | CHINANET-SH-AP China Telecom (Group),CN
4812    | 114.80.246.197   | 114.80.0.0/16       | CN | apnic    | 2008-05-14 | CHINANET-SH-AP China Telecom (Group),CN
38031   | 114.134.93.114   | 114.134.93.0/24     | BD | apnic    | 2008-06-12 | OPTIMAX-BD-AS-AP OptiMax Communication Ltd.,BD
9318    | 114.200.199.155  | 114.200.0.0/13      | KR | apnic    | 2008-06-18 | HANARO-AS Hanaro Telecom Inc.,KR
4134    | 115.238.101.45   | 115.224.0.0/12      | CN | apnic    | 2008-09-03 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 115.239.230.122  | 115.224.0.0/12      | CN | apnic    | 2008-09-03 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 115.239.253.11   | 115.224.0.0/12      | CN | apnic    | 2008-09-03 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 116.10.189.247   | 116.8.0.0/14        | CN | apnic    | 2007-03-22 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
9318    | 116.127.121.77   | 116.127.0.0/16      | KR | apnic    | 2007-05-21 | HANARO-AS Hanaro Telecom Inc.,KR
24085   | 116.193.76.135   | 116.193.76.0/24     | VN | apnic    | 2007-04-10 | QTSC-AS-VN Quang Trung Software City Development Company,VN
37943   | 116.255.147.148  | 116.255.128.0/17    | CN | apnic    | 2007-04-05 | CNNIC-GIANT ZhengZhou GIANT Computer Network Technology Co., Ltd,CN
4134    | 117.21.226.10    | 117.21.0.0/16       | CN | apnic    | 2007-06-15 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 117.21.226.12    | 117.21.0.0/16       | CN | apnic    | 2007-06-15 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
